name,cf_url,modrinth_url,github_url,manual_versions,incompat,description,side,notes,type,status
Feature NBT Deadlock Begone,https://www.curseforge.com/minecraft/mc-mods/feature-nbt-deadlock-be-gone,https://modrinth.com/mod/feature-nbt-deadlock-be-gone,,,,Fixes deadlocks caused by MC-246262.,Server,,bugfix,
fixRTM,https://www.curseforge.com/minecraft/mc-mods/fixrtm,,,,,fixes some RealTrainMod bugs and makes it more useful.,Both,,bugfix,
FlickerFix,https://www.curseforge.com/minecraft/mc-mods/flickerfix,,,,,"By default, when the night vision effect goes below 10 seconds, the screen starts flickering. This mod replaces that behavior with a fast fade-out at 1 second remaining duration.",Client,,bugfix,
Head Name Fix,https://www.curseforge.com/minecraft/mc-mods/head-name-fix,https://modrinth.com/mod/headfix,,,,Mob heads will keep their custom names when placed.,Server,,bugfix,
IMBlocker,https://www.curseforge.com/minecraft/mc-mods/imblockerfabric,https://modrinth.com/mod/imblocker,,,,Hides the IME (Input Method Editor) where entering text is not required.,Client,,bugfix,
Inventory Close with Mouse key Fix,https://www.curseforge.com/minecraft/mc-mods/inventory-close-fix,https://modrinth.com/mod/invclosefix,,,,Allows you to close your inventory with a key bound to a mouse button.,Client,,bugfix,
Item Model Fix,https://www.curseforge.com/minecraft/mc-mods/item-model-fix,https://modrinth.com/mod/item-model-fix,,,,Fixes gaps in generated item models.,Client,,bugfix,
LagGoggles,https://www.curseforge.com/minecraft/mc-mods/laggoggles,,,,,"a profiler where you can see timings in the world, visually.",Either,,utility,
LibreExpFix,https://www.curseforge.com/minecraft/mc-mods/libreexpfix,https://modrinth.com/mod/libre-exp-fix,,,,Fixed experience bug after teleporting across dimensions,Server,,bugfix,
Map Crash Fixer,https://www.curseforge.com/minecraft/mc-mods/map-crash-fixer,https://modrinth.com/mod/mapcrashfixer,,,,Fixes a 1.17.1 bug with map crashes.,Client,,bugfix,
MC122477Fix,https://www.curseforge.com/minecraft/mc-mods/mc122477fix,https://modrinth.com/mod/mc122477fix,,,,"Fixes MC-122477, the random extra chat character on Unix-based systems.",Client,,bugfix,
MCMouser,https://www.curseforge.com/minecraft/mc-mods/mcmouser,https://modrinth.com/mod/mcmouser,,,,Fixes various mouse bugs on macOS.,Client,,bugfix,
MCPersianTextFixer,,https://modrinth.com/mod/mcpersiantextfixer,,,,"""Fixes"" Persian text rendering.",Client,,bugfix,
NetherPortalFix,https://www.curseforge.com/minecraft/mc-mods/netherportalfix,https://modrinth.com/mod/netherportalfix,,,,Keeps track of what portals a player went through in order to ensure correct destinations when the player is going back through the same portals.,Server,,bugfix,
Night Vision flash be gone,https://www.curseforge.com/minecraft/mc-mods/night-vision-flash-be-gone,,,,,Removes the flashing when the night vision effect has less than 10 seconds lef,Client,,bugfix,
No Chat Reports,https://www.curseforge.com/minecraft/mc-mods/no-chat-reports,https://modrinth.com/mod/no-chat-reports,,,,Strips the cryptographic signatures from chat messages that were added in 1.19 to stop the chat reporting feature from working,Either,,utility,
No Night Vision Flickering,https://www.curseforge.com/minecraft/mc-mods/no-night-vision-flickering,https://modrinth.com/mod/no-night-vision-flickering,,,,changes night vision flickering/flashing when status effect is expiring to gentle fade-out animation over last 5 seconds(configurable),Client,,bugfix,
No Null Processors,https://www.curseforge.com/minecraft/mc-mods/no-null-processors,,,,,Fixes crashing when trying to pre-generate large areas of a world.,Server,,bugfix,
No Time Out No More,https://www.curseforge.com/minecraft/mc-mods/notimeoutnomore,,,,,Enables editing of server timeout time,Server,configuration needed,bugfix,
Potion ID Packet Fixer,https://www.curseforge.com/minecraft/mc-mods/potion-id-packet-fixer,https://modrinth.com/mod/potion-fix,,,,"If you have more than 255 potion effects registered, the client will receive incorrect information for potion effects above ID 255, due to an issue with vanilla packets. This mod fixes that issue.",Both,,bugfix,
PurpurClient,,https://modrinth.com/mod/purpurclient,,,,Fixes client-side vanilla bugs.,Client,,bugfix,
RandomPatches (Forge),https://www.curseforge.com/minecraft/mc-mods/randompatches-forge,https://modrinth.com/mod/randompatches,,,,Contains a bunch of miscellaneous patches for Minecraft,Either,,bugfix,
Rcon Output Newline,,https://modrinth.com/mod/rconoutputnewline,,,,Fixes rcon output by appending a newline.,Server,,bugfix,
Translucency Fix,https://www.curseforge.com/minecraft/mc-mods/translucencyfix,https://modrinth.com/mod/translucencyfix,,,,Allows resource packs to use semitranslucent textures.,Client,,bugfix,
Spark,https://www.curseforge.com/minecraft/mc-mods/spark,https://modrinth.com/mod/spark,,,,"A performance profiler for clients, servers and proxies",Either,,utility,
Spectater,https://www.curseforge.com/minecraft/mc-mods/spectater,https://modrinth.com/mod/spectater,,,,fixes a spectator bug.,Client,,bugfix,
Thorium,https://www.curseforge.com/minecraft/mc-mods/thorium,https://modrinth.com/mod/thorium,,,,fixes 50+ small bugs and annoyances in Minecraft.,Either,,bugfix,
TieFix,https://www.curseforge.com/minecraft/mc-mods/tiefix,https://modrinth.com/mod/tiefix,,,,Fixes some annoying bugs in the Minecraft client.,Client,,bugfix,
Too Fast,https://www.curseforge.com/minecraft/mc-mods/too-fast,,,,RandomPatches,"Removes the server-side limitations on player speed that result in ""player XYZ moved too fast"" messages in the console and rubber-banding.",Server,,bugfix,
ToolTipFix,https://www.curseforge.com/minecraft/mc-mods/tooltipfix,https://modrinth.com/mod/tooltipfix,,,,Stops tooltips that are too large to fit on the screen from running off the screen,Client,,bugfix,
Wither Cage Fix,https://www.curseforge.com/minecraft/mc-mods/wither-cage-fix,https://modrinth.com/mod/wither-cage-fix,,,,Fixes vanilla bug where withers forget their targets.,Server,,bugfix,
XL Packets,https://www.curseforge.com/minecraft/mc-mods/xl-packets,none,,,,"Fixes MC-185901 by raising the packet size limit from 2MB to 2GB, so that servers with large datapacks, packets, etc don't kick the client.",Both,,bugfix,
XL Packets (Fabric),https://www.curseforge.com/minecraft/mc-mods/xl-packets-fabric,none,,,XXL Packets,"Fixes MC-185901 by raising the packet size limit from 2MB to 2GB, so that servers with large datapacks, packets, etc don't kick the client.",Both,,bugfix,
XXL Packets,,https://modrinth.com/mod/xxl-packets,,,XL Packets,"Fixes MC-185901 by raising the packet size limit from 2MB to 2.14GB, so that servers with large datapacks, packets, etc don't kick the client.",Both,,bugfix,
Random Patches (Fabric),https://www.curseforge.com/minecraft/mc-mods/randompatches-fabric,https://modrinth.com/mod/randompatches,,,,contains a bunch of miscellaneous patches for Minecraft,Either,,bugfix,
Ascribe,https://www.curseforge.com/minecraft/mc-mods/ascribe,,,,,Fix attackedAtYaw syncing.,Both,Use Et Futurum Requiem instead. `/doDownfall` is broken (it doesn't persist).,bugfix,1
Healer,https://www.curseforge.com/minecraft/mc-mods/healer,https://modrinth.com/mod/healer,,,,Alternative to FoamFix's log4j vulnerability fix,Either,,bugfix,
ContainerFix,https://www.curseforge.com/minecraft/mc-mods/containerfix,,,,,"fixes a common issue with many mods that doesn't close the GUI of a Container, even if that container is destroyed or removed somehow.",Server,,bugfix,
Sledgehammer,https://www.curseforge.com/minecraft/mc-mods/sledgehammer,https://modrinth.com/mod/sledgehammer,,,,Fixes several bugs in Minecraft as well as some mods,Either,,bugfix,
BedBreakBegone,https://www.curseforge.com/minecraft/mc-mods/bedbreakbegone,https://modrinth.com/mod/bedbreakbegone,,,,"Fixes and alleviates nonsense ""Your bed was obstructed"" errors",Server,,bugfix,
Block Overlay Fix,https://www.curseforge.com/minecraft/mc-mods/block-overlay-fix,,,,,Fixes xray when standing in block that don't cause suffocation.,Client,,bugfix,
ASM Fixes,https://www.curseforge.com/minecraft/mc-mods/asm-fixes-j-a-f-m,,,,,Stops a client/server Potion ID mismatch from causing a client crash,Both,Incompatible (7),bugfix,4
Biome Decoration Fix,https://www.curseforge.com/minecraft/mc-mods/biome-decoration-fix,,,,GasStation,Fixes a crash commonly occurring with a lot of heavy worldgen mods installed,Server,,bugfix,
BugTorch,,https://modrinth.com/mod/bugtorch,,,,Fixes bugs and backports some features,Both,,bugfix,
Careful Cast Corrector,https://www.curseforge.com/minecraft/mc-mods/careful-cast-corrector-ccc,,,,,Fixes an extremely rare case of crashing in worldgen,Server,,bugfix,
Lumy Skin Patch,https://www.curseforge.com/minecraft/mc-mods/lumy-skin-patch,,,,,Repairs skins for Minecraft because Mojang no longer supports skins for no-UUID Minecraft versions.,Client,,bugfix,
MojangFix,,https://modrinth.com/mod/mojangfix,,,,"fixes skins, authentication and more",Client,,bugfix,
Font Fixer,none,https://modrinth.com/mod/font-fixer,,,,Fixes the font renderer in legacy MC.,Client,,bugfix,
Legacy LazyDFU,,https://modrinth.com/mod/legacy-lazydfu,,,,"makes the initialization of DataFixerUpper ""lazy""",Either,,performance,
Legacy Advancements Debug,,https://modrinth.com/mod/legacy-advancements-debug,,,,Makes advancement checking faster,Server,,performance,
Had Enough Items,https://www.curseforge.com/minecraft/mc-mods/had-enough-items,,,,,A fork of Just Enough Items with memory and performance optimizations,Client,,performance,
Hesperus,https://www.curseforge.com/minecraft/mc-mods/hesperus,,,,"Cubic Chunks, Mods using outdated mixin versions","Continuation of Phosphor for 1.12.2, with improved compatibility",Either,May be laggier than Phosphor with Dynamic Lighting. Can cause lighting glitches in some scenarios. Consider using Alfheim Lighting Engine instead.,"performance,bugfix",1
Let Me Despawn,https://www.curseforge.com/minecraft/mc-mods/let-me-despawn,https://modrinth.com/mod/lmd,,,,Helps with lag caused by accidental persistent mobs by allowing mobs holding items to despawn,Server,may break certain vanilla farms (eg. iron) and cause items dropped after death to despawn (because a mob picked it up),performance,3
Multithreaded Noise,https://www.curseforge.com/minecraft/mc-mods/multithreaded-noise,,,"[[""1.12.2"", ""Forge""], [""1.12.1"", ""Forge""], [""1.12"", ""Forge""]]",,makes overworld terrain generate faster by replacing the three 3D noise generators in the overworld with multithreaded versions.,Server,Alpha (1),performance,3
NormalASM,none,https://modrinth.com/mod/normalasm,,,"TexFix, VanillaFix",Optimize RAM usage.,Both,outdated fork of CensoredASM without questionable names. Consider using CensoredASM instead,"performance,utility,bugfix",3
Unloader,https://www.curseforge.com/minecraft/mc-mods/unloader,,,,,Checks for unused dimensions every 30 seconds (600 ticks) to unload by default,Client Optional,Use UniversalTweaks instead,performance,1
Tinkers OreDict Cache,https://www.curseforge.com/minecraft/mc-mods/tinkers-oredict-cache,,,,,Caches Tinkers Construct melting recipes to speed up game loading time,Both,,performance,
ChunkPurge,https://www.curseforge.com/minecraft/mc-mods/chunkpurge,,,,,"Periodically scans the loaded chunks in each dimension that are configured to be scanned, and identifies those which are isolated from any valid chunk watchers, then unloads them",Server,,performance,
Flying Cullers,https://www.curseforge.com/minecraft/mc-mods/flying-cullers,https://modrinth.com/mod/flying-cullers,,,,Dynamically adjusts the render distance of entities and tile entities based on your frame rate,Client,,performance,
No Leaf Decay,,https://modrinth.com/mod/no-leaf-decay,,,,Prevents leaves from decaying,Both,breaks vanilla leaf behavior,performance,3
NotEnoughItems Unofficial,https://www.curseforge.com/minecraft/mc-mods/notenoughitems-gtnh,https://modrinth.com/mod/notenoughitems-unofficial,,,,GTNH fork of NotEnoughItems with performance and stability improvements,Server Optional,,"performance,utility",
Not Enough Crashes (Forge),https://www.curseforge.com/minecraft/mc-mods/not-enough-crashes-forge,https://modrinth.com/mod/notenoughcrashes,,,,fancy UI after crashes,Either,sometimes causes crashes; may report inaccurate cause of crashes,utility,2
Not Enough Crashes (Fabric),https://www.curseforge.com/minecraft/mc-mods/not-enough-crashes,https://modrinth.com/mod/notenoughcrashes,,,,fancy UI after crashes,Either,sometimes causes crashes; may report inaccurate cause of crashes,utility,2
Damage Tilt,https://www.curseforge.com/minecraft/mc-mods/damage-tilt,none,,,,Restores damage tilt.,Both,,bugfix,
FPS Reducer,https://www.curseforge.com/minecraft/mc-mods/fps-reducer,,,,,reduces unnecessary GPU and CPU load by reducing the frame rate automatically when the client window is inactive,Client,,performance,
HelpFixer,https://www.curseforge.com/minecraft/mc-mods/helpfixer,,,,,Fixes /help command with broken mods,Server,,bugfix,
Hodgepodge,https://www.curseforge.com/minecraft/mc-mods/hodgepodge,https://modrinth.com/mod/hodgepodge,,,,Various Mixins and ASM optimizations,Either,Has notable overlap with other open source mods,"bugfix,performance",
LoadingProgressBar,https://www.curseforge.com/minecraft/mc-mods/loading-progress-bar,,,,"Aether II, BugTorch with ""skipInitialWorldChunkLoad""",Makes progress bar work again,Client,Incompatible with some mods that alter the main menu,bugfix,
Smooth Font,https://www.curseforge.com/minecraft/mc-mods/smooth-font,,,,,draws all fonts (including resource pack's fonts) smoothly for better readability on all scales,Client,,bugfix,
TileEntity Reset Fix,,https://modrinth.com/mod/tileentity-reset-fix,,,,fix for critical bug in Forge that occasionally resets tile entities,Server,,bugfix,
VillagerMetaFix,https://www.curseforge.com/minecraft/mc-mods/villagermetafix,,,,,forces villagers to check the meta- and NBT-data of the items they are buying.,Client Optional,,bugfix,
EndlessIDs,https://www.curseforge.com/minecraft/mc-mods/endlessids,https://modrinth.com/mod/endlessids,,,,"increases ID limit for blocks, items, and biomes.",Both,,bugfix,
NotEnoughIDs,https://www.curseforge.com/minecraft/mc-mods/notenoughids,,,,,increases ID limit for blocks and items,Both,Use EndlessIDs or JustEnoughIDs,bugfix,1
JustEnoughIDs,https://www.curseforge.com/minecraft/mc-mods/jeid,,,,The Lost Cities,"removes the block, item, biome, potion, and enchantment ID limits by using the 1.13 chunk format in 1.12.",Both,Use Roughly Enough IDs instead.,bugfix,1
Bigger Packets Please,https://www.curseforge.com/minecraft/mc-mods/bigger-packets-please,,,,,increases the default size limit on reception and save read.,Both,,bugfix,
Entity Render Distance Extender,https://www.curseforge.com/minecraft/mc-mods/entity-render-distance-extender,https://modrinth.com/mod/erde,,,,gives a config option to extend from how far away entities render and from how far away they are tracked,Both,,performance,
PotionExtension,https://www.curseforge.com/minecraft/mc-mods/potionextension,,,,,extends a potion array size to 128.,Both,,bugfix,
Enchantment ID Extender,https://www.curseforge.com/minecraft/mc-mods/enchantment-id-extender,https://modrinth.com/mod/eide,,,,extends enchantment IDs from 256 to 4096,Both,,bugfix,
Sampler,https://www.curseforge.com/minecraft/mc-mods/sampler,,,,,A sampling profiler (sampler) to see exactly where the Minecraft client/server spends its time,Either,,utility,
Lag Goggles: Legacy,,https://modrinth.com/mod/lglegacy,,,,"A profiler where you can see timings in the world, visually",Either,,utility,
Iris Shaders,https://www.curseforge.com/minecraft/mc-mods/irisshaders,https://modrinth.com/mod/iris,,,,A modern shaders mod intended to be compatible with existing OptiFine shader packs,Client,no longer available on Curseforge; requires Sodium,utility,
Oculus,https://www.curseforge.com/minecraft/mc-mods/oculus,https://modrinth.com/mod/oculus,,,Literal Sky Block,"Forge port of Iris, a modern shaders mod intended to be compatible with existing OptiFine shader packs",Client,requires Rubidium,utility,
Cyanide (Fabric),https://www.curseforge.com/minecraft/mc-mods/cyanide-fabric,https://modrinth.com/mod/cyanide,,,,Improves datapack error logging,Server,,utility,
"No See, No Tick",https://www.curseforge.com/minecraft/mc-mods/no-see-no-tick,,,,,disables entities ticking if too far away from the player,Server,breaks vanilla mob farms,performance,3
Gotta Go Fast,https://www.curseforge.com/minecraft/mc-mods/gotta-go-fast-fabric,https://modrinth.com/mod/gotta-go-fast-fabric,,,RandomPatches,"Removes the server-side limitations on player speed that result in ""player XYZ moved too fast"" messages in the console and rubber-banding.",Server,,bugfix,
Raw Mouse Input,https://www.curseforge.com/minecraft/mc-mods/raw-input-1-12-2,,,,,makes mouse input feel smoother and fix mouse jittering.,Client,,bugfix,
ImmediatelyFast,https://www.curseforge.com/minecraft/mc-mods/immediatelyfast,https://modrinth.com/mod/immediatelyfast,,,,improves the immediate mode rendering performance of the client.,Client,,performance,
RLTweaker,https://www.curseforge.com/minecraft/mc-mods/rltweaker,,,,,bug fixes and performance improvements,Client Optional,,"performance,bugfix",
Lightspeed,https://www.curseforge.com/minecraft/mc-mods/lightspeedmod,https://modrinth.com/mod/lightspeed,,,,improves loading time,Client,,performance,
CullLessLeaves Reforged,https://www.curseforge.com/minecraft/mc-mods/culllessleaves-reforged,,,,Cull Leaves,Forge port of Cull Less Leaves,Client,,performance,
Limited Chunkloading,https://www.curseforge.com/minecraft/mc-mods/limited-chunkloading,,,,,Limits chunk-loaders from mods to only stay X time after player logout.,Server,"closed source, breaks default chunk loader behavior",performance,3
ImmediatelyFast Reforged,https://www.curseforge.com/minecraft/mc-mods/immediatelyfast-reforged,https://modrinth.com/mod/immediatelyfast-reforged,,,,improves the immediate mode rendering performance of the client.,Client,,performance,
ModernFix,https://www.curseforge.com/minecraft/mc-mods/modernfix,https://modrinth.com/mod/modernfix,,,"Optifine, DashLoader",fix bugs and improve the performance of Forge for 1.16+,Either,,performance,
Shutup Experimental Settings!,https://www.curseforge.com/minecraft/mc-mods/shutup-experimental-settings,,,,,"disables the ""Experimental Features"" popup that appears every time you create or load a world with custom dimensions or world settings.",Client,,utility,
Disable Custom Worlds Advice,https://www.curseforge.com/minecraft/mc-mods/fabric-disable-custom-worlds-advice,https://modrinth.com/mod/dcwa,,,,"disables the ""Experimental Features"" popup that appears every time you create or load a world with custom dimensions or world settings.",Client,,utility,
Yeetus Experimentus,https://www.curseforge.com/minecraft/mc-mods/yeetusexperimentus,,,,,"disables the ""Experimental Features"" popup that appears every time you create or load a world with custom dimensions or world settings.",Client,,utility,
Cull Particles,https://www.curseforge.com/minecraft/mc-mods/cull-particles,,,,,increases FPS by not rendering particles that the player can't see,Client,implemented by newer versions of Forge,performance,1
Chlorine,https://www.curseforge.com/minecraft/mc-mods/chlorine,,,"[[""1.16.5"", ""Forge""], [""1.16.3"", ""Fabric""]]",,"Unofficial Forge port of Sodium. FOSS rendering engine replacement that greatly improves frame rates, reduces micro-stutter, and fixes graphical issues in Minecraft.",Client,Use Rubidium instead,performance,1
Sodium Extra,https://www.curseforge.com/minecraft/mc-mods/sodium-extra,https://modrinth.com/mod/sodium-extra,,,,"toggle animations, particles, details, rendering, etc",Client,requires Sodium,performance,
Rubidium Extra,https://www.curseforge.com/minecraft/mc-mods/rubidium-extra,https://modrinth.com/mod/rubidium-extra,,,,"Unofficial Forge port of Sodium Extra. toggle animations, particles, details, rendering, etc.",Client,requires Rubidium,performance,
TabTPS,,https://modrinth.com/plugin/tabtps,,,,"shows TPS, MSPT, etc in the tab menu, boss bar, and action bar; adds commands for checking current TPS, memory and ping",Server,,utility,
Mod Menu,https://www.curseforge.com/minecraft/mc-mods/modmenu,https://modrinth.com/mod/modmenu,,,,adds a list of mods accessed via a menu button,Client,no longer available on Curseforge,utility,
Chunk Sending,https://www.curseforge.com/minecraft/mc-mods/chunk-sending-forge-fabric,,,,,Optimizes chunk packet sending through sorting and distributing them over time.,Server,closed source,performance,
Structure Essentials,https://www.curseforge.com/minecraft/mc-mods/structure-essentials-forge-fabric,,,,,makes structure locating much faster (eg. looting a chest with a treasure map) and adds some utility commands,Server,closed source,performance,
DoesPotatoTick,https://www.curseforge.com/minecraft/mc-mods/doespotatotick,,,,,Limits entity ticking outside view distance,Both,breaks vanilla mob farms,performance,3
DrawerFPS Legacy,https://www.curseforge.com/minecraft/mc-mods/drawerfps-legacy,,,,,Lets you configure the range at which Storage Drawers render items to improve fps.,Client,,performance,
Methane,,https://modrinth.com/mod/methane,,,,disable lighting and optionally fog,Client,"basically fullbright, but with performance gains",performance,3
Language Reload,https://www.curseforge.com/minecraft/mc-mods/language-reload,https://modrinth.com/mod/language-reload,,,,Fast language switching without resource pack reloading and other QOL features,Client,,performance,
Model Gap Fix,https://www.curseforge.com/minecraft/mc-mods/model-gap-fix,https://modrinth.com/mod/modelfix,,,,fixes gaps in block and item models,Client,,bugfix,
kennytvs-epic-force-close-loading-screen-mod-for-fabric,,https://modrinth.com/mod/forcecloseworldloadingscreen,,,Fastload,Instantly closes the loading terrain screen on world changing,Client,Use Fastload instead,performance,1
Cull Particles Fabric,https://www.curseforge.com/minecraft/mc-mods/cull-particles-fabric,,,,,increases FPS by not rendering particles that the player can't see,Client,Use Sodium instead,performance,1
No Telemetry,https://www.curseforge.com/minecraft/mc-mods/no-telemetry,https://modrinth.com/mod/no-telemetry,,,,disables the telemetry introduced in 1.18,Client,,utility,
Keep Head Names,https://www.curseforge.com/minecraft/mc-mods/keepheadnames,https://modrinth.com/mod/keepheadnames,,,,Keep display names and lore tags of player heads,Server,,bugfix,
TimeOutOut,https://www.curseforge.com/minecraft/mc-mods/timeoutout-fabric,https://modrinth.com/mod/timeoutout,,,,Configure connection timeouts from client to server.,Server,configuration needed,bugfix,
AntiShulkerDupe,,https://modrinth.com/mod/antishulkerdupe,,,,Patches the 1.17-1.19 shulker item dupe,Server,,bugfix,
Chunk Saving Fix,https://www.curseforge.com/minecraft/mc-mods/chunk-saving-fix,,,,,Fixes MC-224729 which causes worldgen happening far away from the player to be cut off,Server,,bugfix,
Chocolate Fix,https://www.curseforge.com/minecraft/mc-mods/chocolate-fix,,,,,Fixes a few worldgen bugs,Server,Some fixes are in later version of Forge,bugfix,
Crash Utilities,https://www.curseforge.com/minecraft/mc-mods/crash-utilities,,,,,adds a number of tools for finding and fixing common server problems.,Client Optional,,bugfix,
Legacy VanillaFix,,https://modrinth.com/mod/legacyvanillafix,,,,Unofficial Legacy Fabric port of Vanilla Fix,Either,,"performance,bugfix,utility",
MixinTrace,https://www.curseforge.com/minecraft/mc-mods/mixintrace,https://modrinth.com/mod/mixintrace,,,,adds a list of mixins to classes in the stack trace of crash reports,Server,,utility,
Modern Keybinding (Forge),https://www.curseforge.com/minecraft/mc-mods/modern-keybinding,https://modrinth.com/mod/modernkeybinding,,,,Backports key modifiers,Client,,utility,
Modern Keybinding (Fabric),https://www.curseforge.com/minecraft/mc-mods/modern-keybinding-fabric,https://modrinth.com/mod/modernkeybinding,,,,Ports key modifiers to Fabric,Client,,utility,
Controlling,https://www.curseforge.com/minecraft/mc-mods/controlling,https://modrinth.com/mod/controlling,,,,Adds the ability to search for keybinds using their name,Client,,utility,
Configured,https://www.curseforge.com/minecraft/mc-mods/configured,none,,,,dynamically creates a configuration menu for every mod,Client,may have bugs due to other mods' nonstandard behavior,utility,4
Catalogue,https://www.curseforge.com/minecraft/mc-mods/catalogue,none,,,,replaces Forge's mod list menu with an updated and modernised version,Client,,utility,
Nvidium,,https://modrinth.com/mod/nvidium,,,Iris,replacement rendering backend for Sodium that uses Nvidia-only OpenGL extensions to increase FPS significantly,Client,"very early alpha, expect many issues and crashes (including system crashes)",performance,3
No Night Vision Flashing,https://www.curseforge.com/minecraft/mc-mods/no-nv-flash,,,,,Removes the flashing effect when night vision effects have less than 10 seconds left and adds a configurable fade-out.,Client,,bugfix,
Extra Thicc Packets,https://www.curseforge.com/minecraft/mc-mods/extra-thicc-packets,,,,XL Packets,"Fixes MC-185901 by raising the packet size limit from 2MB to 2.14GB, so that servers with large datapacks, packets, etc don't kick the client.",Both,,bugfix,
Night Config Fixes,https://www.curseforge.com/minecraft/mc-mods/night-config-fixes,https://modrinth.com/mod/night-config-fixes,,,,"Fixes ""com.electronwill.nightconfig.core.io.ParsingException: Not enough data available"" issue related to config loading",Either,,bugfix,
Fix Experience Bug,https://www.curseforge.com/minecraft/mc-mods/fix-experience-bug,,,,,Fixed experience bug after teleporting across dimensions,Server,,bugfix,
Boat Break Fix,https://www.curseforge.com/minecraft/mc-mods/boat-break-fix,https://modrinth.com/mod/boat-break-fix,,,,"Fixes bug where boat breaks if falls from a height of 12, 13, 49, 51, 111, 114, 198, 202, 310, or 315 blocks",Server,,bugfix,
Max Health Fix,https://www.curseforge.com/minecraft/mc-mods/max-health-fix,https://modrinth.com/mod/max-health-fix,,,,"Fixes bug where ""Max Health"" attribute is ignored when a player joins the game, causing players with a health value greater than the default limit of 20 to be reset back down to 20,",Server,,bugfix,
Rebind Narrator,https://www.curseforge.com/minecraft/mc-mods/rebind-narrator,https://modrinth.com/mod/rebind-narrator,,,,lets you rebind the narrator key (Ctrl + B),Client,,"bugfix,utility",
AttributeFix (Fabric),https://www.curseforge.com/minecraft/mc-mods/attribute,,,,,"Removes attribute caps (for armor values, attack damage, etc)",Server,can cause unintended behavior with some mods,bugfix,
Biome Id Fixer,https://www.curseforge.com/minecraft/mc-mods/biome-id-fixer,,,,,Fixes biome ids being remapped when adding or removing biomes.,Server,,bugfix,
Third Person Camera Fix,https://www.curseforge.com/minecraft/mc-mods/third-person-camera-fix,,,,,Fixes camera angles when your head is in a non-collidable block,Client,,bugfix,
MekFix,https://www.curseforge.com/minecraft/mc-mods/mekfix,,,,,Backports Mekanism bug fix that causes XP to drop from machines when using the cardboard box on them (Mekanism#7600),Server,,bugfix,
Duplicate Entity UUID Fix,https://www.curseforge.com/minecraft/mc-mods/deuf-duplicate-entity-uuid-fix,,,,,Fixes log spam from duplicate entity UUIDs,Server,,bugfix,
Magnesium/Rubidium Extras,https://www.curseforge.com/minecraft/mc-mods/magnesium-extras,,,,,Fixes bugs with Sodium and Forge and adds entity culling,Client,,"bugfix,performance",
FX's Rail Optimization,https://www.curseforge.com/minecraft/mc-mods/fxs-rail-optimization,https://modrinth.com/mod/rail-optimization,,,,makes powered/activator rails turning on/off up to 4x faster,Either,,performance,
Calm Down Zombie Guy,https://www.curseforge.com/minecraft/mc-mods/calm-down-zombie-guy,,,,,fixes a niche bug that causes Zombie Pigmen to be able to attack you in the Overworld from the Nether if they are aggroed while the player transitions.,Both,,bugfix,
Entity Desync Fix,https://www.curseforge.com/minecraft/mc-mods/entity-desync-fix,,,,,fixes entity motion desync (most notable with arrows and thrown items),Both,,bugfix,
Thaumcraft 4 Tweaks,https://www.curseforge.com/minecraft/mc-mods/tc4tweaks,,,,,fixes UI issues and performance,Both,,"bugfix,performance",
Fixeroo,https://www.curseforge.com/minecraft/mc-mods/xp-orb-clump,,,,Clumps,"Clumps groups XP orbs together into a single entity to reduce lag when there are many in a small area, but without adding a new entity.",Server,,performance,
Dimensional Threading Reforged,https://www.curseforge.com/minecraft/mc-mods/dimensional-threading-reforged,none,,,,"Optimizes the processing of multiple Dimensions, by assigning them independent threads",Either,Incompatible (2),performance,3
Enhanced Block Entities Reforged,https://www.curseforge.com/minecraft/mc-mods/enhanced-block-entities-reforged-unofficial,none,,,,"Aims to increase the performance of block entity rendering, as well as offer customizability via resource packs.",Client,,performance,
Fix Alt Gr,,https://modrinth.com/mod/fix-alt-gr,,,,"Fixes the MC-127862 bug, which sometimes makes the Alt Gr key lock your left control key in a pressed state. ",Client,,bugfix,
Starlight Legacy,,https://modrinth.com/mod/starlight-legacy,,,,Unofficial backport of Starlight for 1.14 and 1.15. rewrites the light engine to fix lighting performance and lighting errors.,Either,,performance,
Splash Logo Color Fix,https://www.curseforge.com/minecraft/mc-mods/splash-logo-color-fix,,,,,fixes the color of the mojang logo when a background is applied to Forge's spash screen.,Client,,bugfix,
VintageFix,https://www.curseforge.com/minecraft/mc-mods/vintagefix,https://modrinth.com/mod/vintagefix,,,FoamFix,Load time and memory use optimizations for Forge 1.12,Either,recommended to use the latest version of CensoredASM,performance,
Mobs No Render,https://www.curseforge.com/minecraft/mc-mods/mobs-no-render,https://modrinth.com/mod/mobs-no-render,,,,Stops rendering entities out of a certain range,Client,,performance,
OptimizationsAndTweaks,https://www.curseforge.com/minecraft/mc-mods/optimizationsandtweaks,https://modrinth.com/mod/optimizationsandtweaks,,,,Adds multithreading for some features in 1.7.10 that can improve TPS and FPS in some situations,Both,alpha,performance,3
Raknetify,https://www.curseforge.com/minecraft/mc-mods/raknetify,https://modrinth.com/plugin/raknetify,,,,"Allows users to use RakNet to connect to servers, which improves network performance, especially bad connections",Both,,performance,
